,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
27,M2H,North York,Hillcrest Village,43.8037622,-79.3634517,1.0,Athletics & Sports,Mediterranean Restaurant,Dog Run,Golf Course,Pool,Diner,Discount Store,Distribution Center,Doner Restaurant,Donut Shop
28,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593,1.0,Coffee Shop,Bank,Mobile Phone Shop,Bridal Shop,Sandwich Place,Diner,Restaurant,Deli / Bodega,Supermarket,Middle Eastern Restaurant
29,M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001,1.0,Sandwich Place,Indian Restaurant,Yoga Studio,Middle Eastern Restaurant,Burger Joint,Bus Line,Restaurant,Pizza Place,Pharmacy,Coffee Shop
30,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675,1.0,Coffee Shop,Café,Restaurant,Hotel,Gym,Bar,Clothing Store,Thai Restaurant,Breakfast Spot,Salad Place
31,M6H,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593,1.0,Pharmacy,Bakery,Supermarket,Grocery Store,Park,Middle Eastern Restaurant,Brewery,Bank,Bar,Music Venue
32,M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999,1.0,Smoke Shop,Playground,Jewelry Store,Women's Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
33,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,1.0,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Juice Bar,Women's Store,Shoe Store,Cosmetics Shop,Bank,Bakery
34,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,1.0,Furniture / Home Store,Metro Station,Miscellaneous Shop,Caribbean Restaurant,Massage Studio,Coffee Shop,Bar,Discount Store,Distribution Center,Dog Run
35,M4J,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065,0.0,Intersection,Park,Convenience Store,Drugstore,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999,1.0,Coffee Shop,Aquarium,Café,Hotel,Italian Restaurant,Fried Chicken Joint,Scenic Lookout,Restaurant,Brewery,Pizza Place
37,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,1.0,Bar,Coffee Shop,Vietnamese Restaurant,Restaurant,Café,Asian Restaurant,Men's Store,Miscellaneous Shop,Beer Store,Brewery
38,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,1.0,Department Store,Coffee Shop,Hobby Shop,Train Station,Drugstore,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
39,M2K,North York,Bayview Village,43.7869473,-79.385975,1.0,Café,Japanese Restaurant,Chinese Restaurant,Bank,Women's Store,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
40,M3K,North York,Downsview,43.737473200000004,-79.46476329999999,1.0,Grocery Store,Park,Shopping Mall,Business Service,Airport,Liquor Store,Gym / Fitness Center,Baseball Field,Home Service,Food Truck
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,1.0,Greek Restaurant,Coffee Shop,Italian Restaurant,Bookstore,Furniture / Home Store,Ice Cream Shop,Restaurant,Brewery,Bubble Tea Shop,Café
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,1.0,Coffee Shop,Hotel,Café,Restaurant,Seafood Restaurant,Salad Place,Japanese Restaurant,American Restaurant,Concert Hall,Italian Restaurant
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002,1.0,Café,Coffee Shop,Breakfast Spot,Nightclub,Pet Store,Stadium,Burrito Place,Restaurant,Climbing Gym,Gym
44,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,1.0,Bus Line,Bakery,Soccer Field,Ice Cream Shop,Metro Station,Bus Station,Intersection,Park,Drugstore,Donut Shop
45,M2L,North York,"York Mills, Silver Hills",43.7574902,-79.37471409999999,2.0,Martial Arts School,Women's Store,Drugstore,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
46,M3L,North York,Downsview,43.7390146,-79.5069436,1.0,Grocery Store,Park,Shopping Mall,Business Service,Airport,Liquor Store,Gym / Fitness Center,Baseball Field,Home Service,Food Truck
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,1.0,Park,Pub,Brewery,Sandwich Place,Burrito Place,Fast Food Restaurant,Fish & Chips Shop,Italian Restaurant,Restaurant,Steakhouse
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001,1.0,Coffee Shop,Restaurant,Café,Hotel,American Restaurant,Gym,Japanese Restaurant,Italian Restaurant,Seafood Restaurant,Deli / Bodega
49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738,0.0,Park,Construction & Landscaping,Bakery,Women's Store,Drugstore,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
50,M9L,North York,Humber Summit,43.7563033,-79.56596329999999,1.0,Pizza Place,Furniture / Home Store,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Falafel Restaurant
51,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,1.0,Motel,American Restaurant,Women's Store,Dessert Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
52,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999,,,,,,,,,,,
53,M3M,North York,Downsview,43.7284964,-79.49569740000001,1.0,Grocery Store,Park,Shopping Mall,Business Service,Airport,Liquor Store,Gym / Fitness Center,Baseball Field,Home Service,Food Truck
54,M4M,East Toronto,Studio District,43.6595255,-79.340923,1.0,Coffee Shop,Brewery,Bakery,Café,Gastropub,American Restaurant,Bookstore,Ice Cream Shop,Middle Eastern Restaurant,Yoga Studio
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1.0,Coffee Shop,Sandwich Place,Italian Restaurant,Greek Restaurant,Sushi Restaurant,Pharmacy,Pizza Place,Pub,Café,Butcher
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999,1.0,Restaurant,Discount Store,Sandwich Place,Turkish Restaurant,Bar,Doner Restaurant,Diner,Distribution Center,Dog Run,Donut Shop
57,M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002,1.0,Baseball Field,Dumpling Restaurant,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Women's Store,Fast Food Restaurant
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,1.0,College Stadium,Skating Rink,General Entertainment,Café,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
59,M2N,North York,"Willowdale, Willowdale East",43.7701199,-79.40849279999999,1.0,Ramen Restaurant,Coffee Shop,Café,Sushi Restaurant,Japanese Restaurant,Pizza Place,Sandwich Place,Plaza,Shopping Mall,Movie Theater
60,M3N,North York,Downsview,43.7616313,-79.52099940000001,1.0,Grocery Store,Park,Shopping Mall,Business Service,Airport,Liquor Store,Gym / Fitness Center,Baseball Field,Home Service,Food Truck
61,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,0.0,Park,Swim School,Bus Line,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore,Dim Sum Restaurant
62,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,1.0,Garden,Music Venue,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Department Store
63,M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001,1.0,Bus Line,Convenience Store,Breakfast Spot,Brewery,Women's Store,Dumpling Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore
64,M9N,York,Weston,43.706876,-79.51818840000001,0.0,Park,Women's Store,Drugstore,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,1.0,Indian Restaurant,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
66,M2P,North York,York Mills West,43.752758299999996,-79.4000493,0.0,Park,Convenience Store,Women's Store,Drugstore,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,1.0,Gym / Fitness Center,Hotel,Dance Studio,Department Store,Sandwich Place,Dog Run,Breakfast Spot,Food & Drink Shop,Park,German Restaurant
68,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.41130720000001,1.0,Park,Jewelry Store,Sushi Restaurant,Trail,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Donut Shop,Dessert Shop
69,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,1.0,Thai Restaurant,Bar,Mexican Restaurant,Café,Discount Store,Diner,Bakery,Fried Chicken Joint,Speakeasy,Cajun / Creole Restaurant
70,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,1.0,Pizza Place,Discount Store,Coffee Shop,Sandwich Place,Intersection,Chinese Restaurant,Women's Store,Dog Run,Dim Sum Restaurant,Diner
71,M1R,Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491,1.0,Auto Garage,Middle Eastern Restaurant,Sandwich Place,Bakery,Smoke Shop,Accessories Store,Concert Hall,Construction & Landscaping,Event Space,Ethiopian Restaurant
72,M2R,North York,"Willowdale, Willowdale West",43.7827364,-79.4422593,1.0,Pharmacy,Butcher,Pizza Place,Grocery Store,Coffee Shop,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
73,M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,1.0,Coffee Shop,Clothing Store,Yoga Studio,Restaurant,Bagel Shop,Café,Diner,Ice Cream Shop,Furniture / Home Store,Sporting Goods Shop
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,1.0,Sandwich Place,Café,Coffee Shop,Indian Restaurant,Donut Shop,Burger Joint,Middle Eastern Restaurant,BBQ Joint,Pub,Liquor Store
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,1.0,Gift Shop,Breakfast Spot,Dessert Shop,Restaurant,Bookstore,Bar,Dog Run,Movie Theater,Cuban Restaurant,Coffee Shop
76,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999,1.0,Hotel,Coffee Shop,Gym,Burrito Place,Fried Chicken Joint,Middle Eastern Restaurant,Gas Station,Sandwich Place,Intersection,American Restaurant
77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001,1.0,Park,Pizza Place,Bus Line,Sandwich Place,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
78,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,1.0,Lounge,Skating Rink,Latin American Restaurant,Breakfast Spot,Clothing Store,Drugstore,Discount Store,Distribution Center,Dog Run,Doner Restaurant
79,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,1.0,Dessert Shop,Sandwich Place,Pizza Place,Gym,Italian Restaurant,Café,Sushi Restaurant,Coffee Shop,Pharmacy,Brewery
80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,1.0,Café,Bookstore,Bakery,Bar,Japanese Restaurant,Sandwich Place,Pub,Bank,Beer Bar,Beer Store
81,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,1.0,Coffee Shop,Café,Sushi Restaurant,Italian Restaurant,Pub,Pizza Place,Yoga Studio,Smoothie Shop,Bookstore,Sandwich Place
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,1.0,Pizza Place,Intersection,Fried Chicken Joint,Bank,Pharmacy,Fast Food Restaurant,Noodle House,Italian Restaurant,Chinese Restaurant,Gas Station
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001,1.0,Trail,Playground,Drugstore,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Women's Store
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,1.0,Bar,Café,Vegetarian / Vegan Restaurant,Mexican Restaurant,Coffee Shop,Vietnamese Restaurant,Gaming Cafe,Bakery,Dessert Shop,Pizza Place
85,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,0.0,Park,Playground,Bakery,Intersection,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Dessert Shop
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493,1.0,Coffee Shop,Restaurant,Liquor Store,Supermarket,Vietnamese Restaurant,Fried Chicken Joint,Sushi Restaurant,Light Rail Station,Pizza Place,Pub
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,1.0,Airport Lounge,Airport Service,Harbor / Marina,Airport Terminal,Rental Car Location,Coffee Shop,Plane,Bar,Boutique,Boat or Ferry
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001,1.0,Café,Coffee Shop,Gym,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Bakery,Fried Chicken Joint,Restaurant,Liquor Store
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369,1.0,Grocery Store,Pizza Place,Liquor Store,Pharmacy,Fast Food Restaurant,Beer Store,Fried Chicken Joint,Sandwich Place,Women's Store,Dog Run
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.799525200000005,-79.3183887,1.0,Fast Food Restaurant,Breakfast Spot,Pizza Place,Indian Restaurant,Chinese Restaurant,Sandwich Place,Coffee Shop,Bank,Pharmacy,Grocery Store
91,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,0.0,Park,Playground,Trail,Escape Room,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Drugstore,Department Store
92,M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999,1.0,Coffee Shop,Italian Restaurant,Seafood Restaurant,Japanese Restaurant,Restaurant,Pub,Café,Beer Bar,Hotel,Breakfast Spot
93,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,1.0,Pizza Place,Gym,Pharmacy,Coffee Shop,Sandwich Place,Pub,Women's Store,Dog Run,Dim Sum Restaurant,Diner
94,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.706748299999994,-79.5940544,1.0,Bar,Garden Center,Rental Car Location,Drugstore,Women's Store,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
95,M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999,,,,,,,,,,,
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,1.0,Coffee Shop,Restaurant,Pizza Place,Café,Market,Italian Restaurant,Pub,Park,Bakery,Chinese Restaurant
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,1.0,Coffee Shop,Café,Hotel,Gym,Japanese Restaurant,Restaurant,Deli / Bodega,Seafood Restaurant,American Restaurant,Asian Restaurant
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436,1.0,River,Pool,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
99,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,1.0,Coffee Shop,Japanese Restaurant,Gay Bar,Sushi Restaurant,Restaurant,Yoga Studio,Bubble Tea Shop,Pub,Café,Men's Store
100,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558,1.0,Fast Food Restaurant,Farmers Market,Butcher,Recording Studio,Skate Park,Auto Workshop,Burrito Place,Garden,Garden Center,Restaurant
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999,1.0,Baseball Field,Construction & Landscaping,Women's Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Eastern European Restaurant
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001,1.0,Hardware Store,Tanning Salon,Wings Joint,Kids Store,Fast Food Restaurant,Discount Store,Convenience Store,Gym,Burrito Place,Burger Joint
